,Serial Number,title of page,Paragraph
0,1,एल्विस प्रेस्ली,"एल्वविस ऍरन् प्रेस्ली (अंग्रेज़ी: Elvis Aaron Presley) एक प्रसिद्ध अमेरिकी गायक, संगीतकार और अभिनेता थे। उनको रॉक एंंड रोल का सम्राट भी कहा जाता है।उन का जन्म टेनिसी में हुआ था। उनका एक जुडुवा भाई भी था जो जन्म लेते ही मर गया। उनकी एक पत्नी और एक बेटी (लिसा मेरी प्रेस्ली) है। उनका घर ग्रेसल्यांड में था जो अब एक संग्रहालय है। वे जर्मनी में दूसरे विश्व युद्ध पश्चात अमेरिकी सेना से परिचालित भी हुए।[कृपया उद्धरण जोड़ें]"
1,2,जॉन लेनन,"जॉन ओनो विन्स्टन लेनन  (९ अक्टूबर १९४०-८ दिसंबर १९८०) एक अंग्रेज़ी गायक और गीतकार हैं। वे द बीटल्स, लोकप्रिय संगीत के सबसे व्यावसायिक रूप से सफल बैंड, के सह-संस्थापक के रूप में सबसे अधिक जाने जाते हैं। पॉल मेकार्टनी के साथ, वे एक मनाया गीत लेखन साझेदारी का गठन किये।[1]जॉन लेनन का जन्म लिवरपूल में हुआ था। उनका पेहला बैंड, द क्वारीमेन, १९६० में बीटल्स के रूप में विकसित हुआ। जब १९७० में द बीटल्स बंद हो गया, लेनन एक एकल कैरियर शुरू की जिसमें गंभीर रूप से प्रशंसित एल्बमों 'जॉन लेनन / प्लास्टिक ओनो बैंड' और 'इमेजिन' के उत्पादन हुए। १९६९ में योको ओनो से शादी करने के बाद, उन्होंने अपना नाम जॉन ओनो विन्स्टन को बदल दिया। अपने शिशु बच्चा शॉन को पालने के लिये, १९७५ में लेनन संगीत के कारोबार से एक ब्रेक लिये। नए एल्बम 'डबल फैंटेसी' के साथ १९८० में लेनन ओनो के साथ फिर से उभरे। तीन सप्ताह के बाद उनका हत्या कर दी गई।लेनन के संगीत, लेखन, चित्र, फिल्म पर और साक्षात्कारों में एक विद्रोही स्वभाव और तीव्र बुद्धि देखी जा सकती है। अपने राजनीतिक और शांति सक्रियता के माध्यम से विवादास्पद, वह १९७१ में मैनहट्टन गए, जहाँ वियतनाम युद्ध के बारे में आलोचना दिये। इसकी वजह उसे निर्वासित करने के लिए रिचर्ड निक्सन के प्रशासन ने एक लंबा प्रयास किया। उनके कुछ गाने युद्ध विरोधी आंदोलन और बड़ा काउंटरकल्चर के गाने बन गये।"
2,3,फरेड्डी मर्क्युरी,"फ्रेडी मर्करी (जन्म फर्रोख बुलसारा; 5 सितंबर 1946 – 24 जुलाई 1991) एक ब्रिटिश गायक, गीतकार और रिकार्ड निर्माता हैं, जिन्हें रॉक बैंड क्वीन के प्रमुख गायक और सह-प्रमुख गीतकार के रूप में जाना जाता है। उन्होंने यह भी ज्ञात हो गया के लिए अपने तेजतर्रार मंच के व्यक्तित्व और चारसप्टक मुखर रेंज है। [1][2][3] बुध लिखा था और रचना की कई हिट फिल्मों के लिए रानी (""बोहेमियन धुन,"" ""खूनी रानी,"" ""किसी को प्यार करने के लिए,"" ""रोक नहीं है अब मुझे,"" ""पागल छोटी बात बुलाया प्यार करता हूँ,"" और ""हम चैंपियन हैं.""); कभी कभी के रूप में सेवा की एक निर्माता और अतिथि संगीतकार (पियानो या वोकल्स) के लिए अन्य कलाकारों; और समवर्ती के नेतृत्व में एक एकल कैरियर के साथ प्रदर्शन करते हुए रानी है।बुध का जन्म हुआ था पारसी वंश में सल्तनत के जंजीबार और वहाँ बड़ा हुआ और भारत में जब तक उनके मध्य किशोर, जाने से पहले अपने परिवार के साथ करने के लिए मिडिलसेक्स, इंग्लैंड — अंततः गठन बैंड रानी में 1970 के ब्रायन मई और रोजर टेलर. बुध की मृत्यु हो गई 1991 में 45 साल की उम्र में जटिलताओं के कारण से एड्सहोने को स्वीकार किया दिन उसकी मौत से पहले वह था कि वह बीमारी अनुबंध."
3,4,कियानू रीव्स,"कियानू चार्ल्स रीव्स (अंग्रेज़ी: Keanu Charles Reeves, जन्म २ सितंबर १९६४) एक कनेडियाई अभिनेता है। वह बिल एंड टेड'स एक्सिलंट एडवेंचर्स, स्पीड, पॉइंट ब्रेक और काल्पनिक विज्ञान पर आधारित फ़िल्म शृंखला द मेट्रिक्स में भूमिका अदा करने के लिए लोकप्रिय है। इन्होंने हाल ही में आई मूवी श्रृंखला जॉन वीक में भी मुख्य किरदार की भूमिका निभाई हैइंटरनेट मूवी डेटाबेस पर कियानू रीव्स"
4,5,जस्टिन टिम्बरलेक,"जस्टिन रैन्डल टिम्बरलेक (जन्म 31 जनवरी 1981)[2] एक अमेरिकी पॉप संगीतज्ञ और अभिनेता हैं। उन्होंने छह ग्रैमी पुरस्कार और साथ ही दो एम्मी पुरस्कार जीते।  उन्हें अपनी सबसे बड़ी सफलता तब मिली जब उन्होंने स्टार सर्च के प्रतियोगी के रूप में भाग लिया और डिज़्नी चैनल टेलीविज़न शृंखला द न्यू मिकी माउस क्लब में अभिनय किया, जहां उनकी मुलाक़ात अपने भावी बैंड-साथी जे.सी. चैसेज़ से हुई। 1990 दशक के अंत में टिम्बरलेक बॉय बैंड 'एन सिंक के प्रमुख गायक के रूप में मशहूर हुए, जिसके प्रवर्तन को लो पर्लमैन ने वित्तपोषित किया था।2002 में उन्होंने अपनी पहली एकल ऐल्बम जस्टिफ़ाइड जारी की, जिसकी दुनिया भर में 7 मिलियन से ज़्यादा प्रतियां बेची गईं।  ऐल्बम व्यावसायिक रूप से सफल रही, जिसमें हिट ""क्राई मी अ रिवर"" और ""रॉक योर बॉडी"" शामिल हैं। टिम्बरलेक ने अपने दूसरे एकल ऐल्बम, फ़्यूचरसेक्स/लवसाओउंड्स (2006) के साथ अपनी सफलता जारी रखी, जो बिलबोर्ड 200|बिलबोर्ड 200 चार्ट पर पहले नंबर पर अवतरित हुई और निम्न अमेरिकी नंबर वन हिट एकल का निर्माण किया - ""सेक्सी बैक"", ""माई लव"" और ""व्हाट गोज़ अराउंड..।/ ...कम्स अराउंड.""टिम्बरलेक के पहले दो ऐल्बमों ने उन्हें दुनिया में सबसे सफल व्यावसायिक गायक बनाया, जिनमें से प्रत्येक की 9 मिलियन से अधिक प्रतियों की बिक्री हुई (इसके अलावा 'एन सिंक के साथ 55 मिलियन ऐल्बम बेचे गए). संगीत के अलावा, उन्होंने अभिनय कॅरियर की भी शुरूआत कर दी, जबकि उनके अन्य उपक्रमों में शामिल हैं रिकॉर्ड लेबल टेनमैन रिकॉर्ड्स, फ़ैशन लेबल विलियम रास्ट और रेस्तरां Destino और Southern Hospitality."
5,6,एव्रिल लावीन,"एव्रिल रमोना लावीन (अंग्रेज़ी: Avril Ramona Lavigne; जन्म २७ सितंबर १९८४) एक कनेडियाई गायिका व गीतकार है। उनका जन्म बेलेविले, ओंटारियो में हुआ था परन्तु उन्होंने अपनी अधिकांश जवानी छोटे से गाँव नपानी में व्यतीत की। १५ की उम्र में वे मंच पर शानिया त्वैन के साथ नज़र आई और १६ की उम्र में उन्होंने अरिस्ता रेकॉर्ड्स के साथ $२० लाख का समझोता कर लिया। २०२२ में जब वे १७ वर्ष की थी तब उन्होंने अपना अल्बम लेट गो रिलीज़ किया।लेट गो ने लावीन को अमेरिका के प्रथम क्रमांक पर पहुँचने वाली सबसे कम उम्र की महिला गायक बना दिया और यह अल्बम चार बार प्लैटिनम प्रमाणित रहा. २००९ तक इसकी १ करोड़ १६ लाख प्रतियाँ विश्वभर में बिक चुकी है। उनका एकल गीत ""कॉम्प्लीकेटेड"" कई देशों में प्रथम क्रमांक पर रहा. उनका दूसरा अल्बम अंडर माई स्किन २००४ में रिलीज़ किया गया और यह अमेरिकी बिलबोर्ड २०० के शीर्ष स्थान पर रहने वाला उनका पहला अल्बम बन गया। उनका तिसरा अल्बम द बेस्ट डैम थिंग २००७ को रिलीज़ हुआ और यूनाइटेड किंगडम के चार्टों पर प्रथम क्रमांक पर रहने वाला तिसरा अल्बम बन गया और अमेरिकी बिलबोर्ड हॉट १०० की सूची में प्रथम क्रमांक पर इस अल्बम से उनका गीत ""गर्लफ्रेंड"" चुना गया। लावीन ने छः एकल गीत गाए है जिनमे ""कॉम्प्लीकेटेड"", ""स्केटरबॉय"", ""आईएम विथ यु"", ""माई हैप्पी एंडिंग"", ""नोबॉडीज होम"" और ""गर्लफ्रेंड"" शामिल है। उनका चौथा अल्बम गुडबाय लुलाबाय मार्च २०११ को रिलीज़ किया गया।"
6,7,बॉब डिलन,"बॉब डिलन एक अमेरिकी गीतकार, गायक, कलाकार, और लेखक है। वह अमेरिकी लोक संगीत के अलावा पॉप म्यूज़िक में भी काफी नाम कमा चुका है। [1]बॉब 24 मई, 1941 को मिनेसोटा में पैदा हुआ था। उसका असली नाम रोबर्ट ऐलन ज़िमरमैन है। उसके दादा-दादी रूसी साम्रज्य (अब यूक्रेन) से अमरीका आये थे, और उनके सबसे प्राचीनतम ज्ञात पूर्वज तुर्की के यहूदी थे। उसके नाना-नानी लिथुआनिया के यहूदी थे। बॉब का बाप अब्राम ज़िम्मरमैन एक बिजली एप्लायंस की दुकान चलता था, और उसकी मैया का नाम बीट्राइस स्टोन थी।बड़ा हो कर बॉब न्यू यॉर्क में जा पहुंचा, जहाँ पर न्यू यॉर्क टाइम्स अख़बार ने उसके एक शो को रिव्यु किया। इसके बाद उसे जॉन हैमंड नाम के एक रिकॉर्ड प्रोड्यूसर ने ब्रेक दिया। बॉब की पहली एल्बम की सिर्फ 5000 कॉपी बिकी, पर धीरे-धीरे उसकी लोकप्रियता काफी बढ़ गयी। 1960 के दशक में उसने अफ्रीकी-अमेरिकी नागरिक अधिकार आंदोलन में हिस्सा लिया।"
7,8,ब्री लार्सन,"ब्रिएन सिडोनी डिसोउल्नियर्स (जन्म १ अक्टूबर १९८९), जो पेशेवर रूप से ब्री लार्सन के नाम से जानी जाती हैं, एक अमेरिकी अभिनेत्री और फिल्म निर्माता हैं। लार्सन ने किशोरावस्था में कॉमेडी धारावाहिकों में सहायक भूमिकाओं से शुरुआत की, और फिर बाद में वह स्वतंत्र नाटकों और फिल्म फ्रेंचाइजी दोनों में प्रमुख भूमिकाऐं निभाने लगी। उन्होंने कई पुरस्कार प्राप्त किये हैं, जिनमें अकादमी पुरस्कार, बीएएफटीए पुरस्कार और गोल्डन ग्लोब पुरस्कार इत्यादि प्रमुख हैं।[1][2][3][4]"
8,9,क्लिंट ईस्टवुड,"क्लिंटन ""क्लिंट"" ईस्टवुड, जूनियर (जन्म 31 मई 1930) एक अमेरिकी अभिनेता, फ़िल्म निर्देशक, फ़िल्म निर्माता और संगीतकार हैं। उन्हें पांच अकादमी पुरस्कार, पांच गोल्डन ग्लोब पुरस्कार, एक स्क्रीन एक्टर्स गिल्ड पुरस्कार और पांच पीपुल्स च्वाइस अवार्ड प्राप्त हुए हैं, जिनमें फ़ेवरिट ऑल टाइम मोशन पिक्चर स्टार शामिल है।[7]ईस्टवुड को हिंसक एक्शन और वेस्टर्न फ़िल्मों में मुख्य रूप से अपने अलग, नैतिक रूप से अस्पष्ट, नायक-विरोधी भूमिकाओं के लिए जाना जाता है, विशेष रूप से 1960, 1970 और 1980 के दशक के दौरान. लंबे समय तक चलने वाली टेलीविज़न श्रृंखला रॉहाइड में अपनी भूमिका के बाद, उन्होंने स्पेगेटी वेस्टर्न के डॉलर ट्रायोलाजी में द मैन विथ नो नेम और डर्टी हैरी फ़िल्म श्रृंखला में पुलिस निरीक्षक हैरी केल्हन के रूप में भूमिकाएं अदा की।  इन भूमिकाओं ने उन्हें मर्दानगी का एक स्थायी प्रतीक बना दिया। [8] ईस्टवुड को एव्री व्हिच वे बट लूज़ (1978) और एनी व्हिच वे यू कैन (1980) फ़िल्मों में अपने हास्य प्रयासों के लिए भी जाना जाता है, जो मुद्रास्फीति के प्रति समायोजन के बाद, उनकी दो सर्वाधिक कमाई करने वाली फ़िल्में हैं।[9]अनफ़रगिवेन (1992) और मिलियन डॉलर बेबी (2004) फ़िल्मों में अपने कार्य के लिए ईस्टवुड ने सर्वश्रेष्ठ निर्देशक, सर्वश्रेष्ठ फ़िल्म निर्माता का अकादमी पुरस्कार जीता और सर्वश्रेष्ठ अभिनेता के लिए नामांकन प्राप्त किया। उन्होंने मिस्टिक रीवर (2003) और लेटर्स फ्रॉम इवो जीमा (2007) के लिए बतौर सर्वश्रेष्ठ निर्देशक ऑस्कर के लिए नामांकन प्राप्त किया और साथ ही बर्ड (1988) में अपने निर्देशन के लिए एक गोल्डन ग्लोब नामांकन. विशेष रूप से इन फ़िल्मों को और साथ ही साथ अन्य फ़िल्मों जैसे प्ले मिस्टी फॉर मी (1971), द आउटलॉ जोसे वेल्स (1976), इस्केप फ्रॉम अल्क़ट्राज़ (1979), इन द लाइन ऑफ़ फायर (1993), द ब्रिजेस ऑफ़ मैडिसन काउंटी (1995) और ग्रैन टोरिनो (2008) को भरपूर आलोचनात्मक प्रशंसा और व्यावसायिक सफलता मिली।  1970 के दशक के प्रारंभ से उन्होंने अपनी अधिकांश फ़िल्मों का निर्देशन किया है और 1993 के अ परफ़ेक्ट वर्ल्ड के बाद से अपनी सभी फ़िल्मों का निर्माण और निर्देशन किया है।"
9,10,बॉब मार्ले,"रॉबर्ट नेस्टा ""बॉब"" मार्ले (6 फ़रवरी 1945 - 11 मई 1981) जमैका के एक गायक-गीतकार और संगीतकार थे। वे स्का, रॉकस्टेडी और रेगे बैंड यथा द वेलर्स (1964-1974) और बॉब मार्ले एंड द वेलर्स (1974-1981) के लिए मुख्य गायक, गीतकार और गिटार वादक थे। मार्ले रेगे म्यूज़िक के सुविख्यात और सम्मानित कलाकार रहे हैं और इन्हें दुनिया भर के श्रोताओं के बीच जमैकन संगीत और रस्ताफ़री आंदोलन, दोनों के प्रसार में मदद का श्रेय दिया जाता है।[1]मार्ले के सर्वश्रेष्ठ हिट गानों में शामिल हैं ""आई शॉट द शेरिफ़"", ""नो वुमन, नो क्राई"", ""कुड यू बी लव्ड"", ""स्टर इट अप"", ""जैमिंग"", ""रिडेम्पशन सॉन्ग"", ""वन लव"" और, द वेलर्स के साथ, ""थ्री लिटल बर्ड्स"",[2] और साथ ही, मरणोपरांत जारी ""बफ़ेलो सोल्जर"" और ""आयरन लायन ज़ियॉन"". उनकी मृत्यु के तीन साल बाद जारी संकलन एल्बम, लीजेंड (1984) रेगे का सर्वाधिक बिकाऊ एल्बम है, जो अमेरिका में 10 बार प्लेटिनम (डायमंड) रहा,[3] और दुनिया भर में इसकी 20 मिलियन प्रतियों की बिक्री हुई.[4][5]बॉब मार्ले का जन्म रॉबर्ट नेस्टा मार्ले के रूप में सेंट ऐन पैरिश, जमैका के छोटे से गांव नाइन माइल में हुआ था।[6] बाद में जमैका के एक पासपोर्ट अधिकारी ने उनके पहले और मध्यम नाम की अदला-बदली कर दी.[7] उनके पिता, नॉरवल सिनक्लेर मार्ले, एक अंग्रेजी वंशज जमैकन थे, जिनका परिवार एसेक्स, इंग्लैंड से आया था। नॉरवल, रॉयल मरीन्स में एक कप्तान और साथ ही साथ एक बाग़ान ओवरसियर थे, जिन्होंने 18 वर्षीय अफ्रीकी-जमैकन सेडेला बुकर से शादी की.[8] नॉरवल ने अपनी पत्नी और बच्चे के लिए वित्तीय सहायता प्रदान की, लेकिन कभी-कभार ही उन्हें देख पाते थे, क्योंकि वे अक्सर यात्राओं पर चले जाते थे। 1955 में, जब मार्ले की उम्र 10 साल की थी, उनके पिता की 60 साल की उम्र में दिल का दौरा पड़ने से मृत्यु हो गई।[9] मार्ले को एक युवा के रूप में अपनी मिश्रित जातीय मूल के कारण नस्ली पूर्वाग्रहों का सामना करना पड़ा और जीवन भर अपनी जातीय पहचान के बारे में सवालों को झेलते रहे. एक अवसर पर उन्होंने कहा:"
