person,personLabel
http://www.wikidata.org/entity/Q165911,अशर
http://www.wikidata.org/entity/Q187844,पिटबुल
http://www.wikidata.org/entity/Q197355,झी लिन झांग
http://www.wikidata.org/entity/Q200577,शॉन पॉल
http://www.wikidata.org/entity/Q106775,रिचर्ड हैरिस
http://www.wikidata.org/entity/Q109063,जिमी क्लिफ
http://www.wikidata.org/entity/Q168012,अलिज़ी
http://www.wikidata.org/entity/Q186304,किम कार्दशियन
http://www.wikidata.org/entity/Q187832,मैंडी मूर
http://www.wikidata.org/entity/Q191088,जो जोनास
http://www.wikidata.org/entity/Q205707,ब्रैडली कूपर
http://www.wikidata.org/entity/Q205721,जॉनी मिचेल
http://www.wikidata.org/entity/Q259379,अनुष्का शंकर
http://www.wikidata.org/entity/Q315181,अलेक्सेय वराबियोव
http://www.wikidata.org/entity/Q35633,इत्ज़ियार इटुनो
http://www.wikidata.org/entity/Q117139,विज खलीफा
http://www.wikidata.org/entity/Q164119,मार्क वाह्ल्बर्ग
http://www.wikidata.org/entity/Q165219,रॉबर्ट डॉनी जुनियर
http://www.wikidata.org/entity/Q193338,डैनी एल्फमैन
http://www.wikidata.org/entity/Q194333,बिली जोएल
http://www.wikidata.org/entity/Q206856,एंजेला लांसबरी
http://www.wikidata.org/entity/Q214831,डेविड आर्चुलेटा
http://www.wikidata.org/entity/Q239940,नादिया अली
http://www.wikidata.org/entity/Q70014,मिशेल
http://www.wikidata.org/entity/Q106383,इसाबेल अदजानी
http://www.wikidata.org/entity/Q185140,ह्वाकीन फीनिक्स
http://www.wikidata.org/entity/Q201656,निक जोनस
http://www.wikidata.org/entity/Q202765,केट विंसलेट
http://www.wikidata.org/entity/Q107067,जगजीत सिंह
http://www.wikidata.org/entity/Q107130,राजेश खन्ना
http://www.wikidata.org/entity/Q168847,ब्रिटनी मर्फी
http://www.wikidata.org/entity/Q170576,मिला जोवोविच
http://www.wikidata.org/entity/Q189694,वेस्ली स्नाइप्स
http://www.wikidata.org/entity/Q242023,कारमेन अमाया
http://www.wikidata.org/entity/Q244441,पीट सीगर
http://www.wikidata.org/entity/Q255233,गूगूश
http://www.wikidata.org/entity/Q313868,फ़ेला कुटी
http://www.wikidata.org/entity/Q167696,निकोल शेर्ज़िंगर
http://www.wikidata.org/entity/Q169946,केट हडसन
http://www.wikidata.org/entity/Q186327,मैरीलिन मैनसन
http://www.wikidata.org/entity/Q254576,जुडी कॉलिन्स
http://www.wikidata.org/entity/Q108560,ए॰ आर॰ रहमान
http://www.wikidata.org/entity/Q189489,ज़ैंडेया
http://www.wikidata.org/entity/Q207873,मैरी एलिज़ाबेथ विनस्टेड
http://www.wikidata.org/entity/Q242302,ईवा फरना
http://www.wikidata.org/entity/Q165518,इवन मक्ग्रेगोर
http://www.wikidata.org/entity/Q171363,विगो मोर्टेंसन
http://www.wikidata.org/entity/Q172632,एमी ली
http://www.wikidata.org/entity/Q193676,लुडाक्रिस
http://www.wikidata.org/entity/Q201927,डेविड हैसलहोफ
http://www.wikidata.org/entity/Q254894,नाओमी स्कॉट
http://www.wikidata.org/entity/Q1276,लिओनार्ड कोहेन
http://www.wikidata.org/entity/Q5383,डेविड बोवी
http://www.wikidata.org/entity/Q6105,हेबे कामार्हो
http://www.wikidata.org/entity/Q9543,सलमान ख़ान
http://www.wikidata.org/entity/Q14045,मोबी
http://www.wikidata.org/entity/Q23880,लीला डाउन्ज़
http://www.wikidata.org/entity/Q26876,टेलर स्विफ्ट
http://www.wikidata.org/entity/Q30449,एव्रिल लावीन
http://www.wikidata.org/entity/Q34460,ग्विनिथ पाल्ट्रो
http://www.wikidata.org/entity/Q37355,जॉन माइकल टॉल्बोट
http://www.wikidata.org/entity/Q46677,मेलिसा बेनोइस्ट
http://www.wikidata.org/entity/Q47664,कैथरीन ज़ीटा-जोन्स
http://www.wikidata.org/entity/Q303,एल्विस प्रेस्ली
http://www.wikidata.org/entity/Q409,बॉब मार्ले
http://www.wikidata.org/entity/Q512,व्लदीमिर विसोत्स्की
http://www.wikidata.org/entity/Q1744,मैडोना
http://www.wikidata.org/entity/Q2599,पॉल मॅक्कार्टनी
http://www.wikidata.org/entity/Q6060,50 सॅण्ट
http://www.wikidata.org/entity/Q11975,ब्रिट्नी स्पीयर्स
http://www.wikidata.org/entity/Q12003,शैर
http://www.wikidata.org/entity/Q26933,pete townshend in wikipedia
http://www.wikidata.org/entity/Q33605,केशा
http://www.wikidata.org/entity/Q34389,व्हिटनी ह्यूस्टन
http://www.wikidata.org/entity/Q36844,रिहाना
http://www.wikidata.org/entity/Q40638,ब्लेक जेनर
http://www.wikidata.org/entity/Q44144,क्रिस जेरिको
http://www.wikidata.org/entity/Q44301,जिम मॉरिसन
http://www.wikidata.org/entity/Q45229,ज़ॅक ऍफ्रॉन
http://www.wikidata.org/entity/Q60068,रजनीकान्त
http://www.wikidata.org/entity/Q7542,प्रिंस
http://www.wikidata.org/entity/Q4617,कोर्बिन ब्लू
http://www.wikidata.org/entity/Q18814,जेसी जे
