singer,singerLabel
http://www.wikidata.org/entity/Q303,एल्विस प्रेस्ली
http://www.wikidata.org/entity/Q15869,फरेड्डी मर्क्युरी
http://www.wikidata.org/entity/Q43203,क्लिंट ईस्टवुड
http://www.wikidata.org/entity/Q512,व्लदीमिर विसोत्स्की
http://www.wikidata.org/entity/Q409,बॉब मार्ले
http://www.wikidata.org/entity/Q49017,ह्यूज लॉरी
http://www.wikidata.org/entity/Q392,बॉब डिलन
http://www.wikidata.org/entity/Q12349,इन्ना
http://www.wikidata.org/entity/Q1276,लिओनार्ड कोहेन
http://www.wikidata.org/entity/Q14045,मोबी
http://www.wikidata.org/entity/Q16759,केली क्वोकोह
http://www.wikidata.org/entity/Q26876,टेलर स्विफ्ट
http://www.wikidata.org/entity/Q42455,ब्योर्क
http://www.wikidata.org/entity/Q42775,जॉनी कैश
http://www.wikidata.org/entity/Q43874,एडी मर्फी
http://www.wikidata.org/entity/Q29328,ब्री लार्सन
http://www.wikidata.org/entity/Q30449,एव्रिल लावीन
http://www.wikidata.org/entity/Q43416,कियानू रीव्स
http://www.wikidata.org/entity/Q1225,ब्रूस स्प्रिंगस्टीन
http://www.wikidata.org/entity/Q1203,जॉन लेनन
http://www.wikidata.org/entity/Q15935,कान्ये वेस्ट
http://www.wikidata.org/entity/Q31164,इल्ली गौल्डिंग
http://www.wikidata.org/entity/Q43432,जस्टिन टिम्बरलेक
http://www.wikidata.org/entity/Q32849,एकॉन
http://www.wikidata.org/entity/Q32927,वालेरी लेंटिव
http://www.wikidata.org/entity/Q44144,क्रिस जेरिको
http://www.wikidata.org/entity/Q44301,जिम मॉरिसन
http://www.wikidata.org/entity/Q33605,केशा
http://www.wikidata.org/entity/Q1744,मैडोना
http://www.wikidata.org/entity/Q1779,लुईस आर्मस्ट्रांग
http://www.wikidata.org/entity/Q18814,जेसी जे
http://www.wikidata.org/entity/Q34389,व्हिटनी ह्यूस्टन
http://www.wikidata.org/entity/Q34436,स्कार्लेट जोहानसन
http://www.wikidata.org/entity/Q2599,पॉल मॅक्कार्टनी
http://www.wikidata.org/entity/Q19810,विक्टोरिया बेखम
http://www.wikidata.org/entity/Q34460,ग्विनिथ पाल्ट्रो
http://www.wikidata.org/entity/Q44903,लिंडसे लोहान
http://www.wikidata.org/entity/Q34424,शकीरा
http://www.wikidata.org/entity/Q2680,ब्रूस विलिस
http://www.wikidata.org/entity/Q35633,इत्ज़ियार इटुनो
http://www.wikidata.org/entity/Q2709,साशा ग्रे
http://www.wikidata.org/entity/Q20150,साइ
http://www.wikidata.org/entity/Q19848,लेडी गागा
http://www.wikidata.org/entity/Q2643,जार्ज हरिसन
http://www.wikidata.org/entity/Q34580,ईचीरो मिज़ूकी
http://www.wikidata.org/entity/Q45229,ज़ॅक ऍफ्रॉन
http://www.wikidata.org/entity/Q23301,रॉबर्टो बेनिगनी
http://www.wikidata.org/entity/Q23543,सेलीन
http://www.wikidata.org/entity/Q36301,ऐनी हैथवे
http://www.wikidata.org/entity/Q36767,रॉबर्ट पैटिनसन
http://www.wikidata.org/entity/Q4061,वूडी गथरी
http://www.wikidata.org/entity/Q4235,माईली सायरस
http://www.wikidata.org/entity/Q23880,लीला डाउन्ज़
http://www.wikidata.org/entity/Q36844,रिहाना
http://www.wikidata.org/entity/Q2831,माइकल जैक्सन
http://www.wikidata.org/entity/Q46677,मेलिसा बेनोइस्ट
http://www.wikidata.org/entity/Q23215,अडेल
http://www.wikidata.org/entity/Q36268,ब्रिजित बर्दो
http://www.wikidata.org/entity/Q4612,मार्लेन डीट्रिक
http://www.wikidata.org/entity/Q47447,एड शीरन
http://www.wikidata.org/entity/Q47664,कैथरीन ज़ीटा-जोन्स
http://www.wikidata.org/entity/Q36970,जैकी चैन
http://www.wikidata.org/entity/Q37459,निकोल किडमैन
http://www.wikidata.org/entity/Q47875,रॉबी विलियम्स
http://www.wikidata.org/entity/Q48187,एरिक क्लैप्टन
http://www.wikidata.org/entity/Q47899,पेरिस हिल्टन
http://www.wikidata.org/entity/Q37355,जॉन माइकल टॉल्बोट
http://www.wikidata.org/entity/Q4616,मर्लिन मुनरो
http://www.wikidata.org/entity/Q4617,कोर्बिन ब्लू
http://www.wikidata.org/entity/Q38393,आशा भोंसले
http://www.wikidata.org/entity/Q38119,डैनियल रैड्क्लिफ़
http://www.wikidata.org/entity/Q5383,डेविड बोवी
http://www.wikidata.org/entity/Q40096,विल स्मिथ
http://www.wikidata.org/entity/Q40580,लिसा जेरार्ड
http://www.wikidata.org/entity/Q60068,रजनीकान्त
http://www.wikidata.org/entity/Q221908,यानिक नोहा
http://www.wikidata.org/entity/Q40890,एना मारिया जोसेफ़
http://www.wikidata.org/entity/Q6060,50 सॅण्ट
http://www.wikidata.org/entity/Q6096,स्नूप दॉग
http://www.wikidata.org/entity/Q41076,मारिया कैरी
http://www.wikidata.org/entity/Q6105,हेबे कामार्हो
http://www.wikidata.org/entity/Q41548,अंतोनियो बान्देरस
http://www.wikidata.org/entity/Q42018,अनुराधा पौडवाल
http://www.wikidata.org/entity/Q6107,तुपाक शकूर
http://www.wikidata.org/entity/Q121077,भीमसेन जोशी
http://www.wikidata.org/entity/Q121122,कुमार गंधर्व
http://www.wikidata.org/entity/Q121507,अलिसिया कीज़
http://www.wikidata.org/entity/Q224962,काजल अग्रवाल
http://www.wikidata.org/entity/Q227129,ज़ोइ क्राविट्ज़
http://www.wikidata.org/entity/Q7241,रवीन्द्रनाथ ठाकुर
http://www.wikidata.org/entity/Q122020,हिलेरी डफ़
http://www.wikidata.org/entity/Q8446,कर्ट कोबेन
http://www.wikidata.org/entity/Q123174,वेनेसा हजेंस
http://www.wikidata.org/entity/Q9535,शाह रुख़ ख़ान
http://www.wikidata.org/entity/Q9543,सलमान ख़ान
http://www.wikidata.org/entity/Q9570,अमिताभ बच्चन
http://www.wikidata.org/entity/Q11172,Addys मर्सिडीज
http://www.wikidata.org/entity/Q11637,जुडी गारलैंड
http://www.wikidata.org/entity/Q125106,सलमा हायेक
http://www.wikidata.org/entity/Q11975,ब्रिट्नी स्पीयर्स
http://www.wikidata.org/entity/Q12003,शैर
http://www.wikidata.org/entity/Q11998,काइली मिनोग
http://www.wikidata.org/entity/Q127471,ऐश्ले टिस्डेल
http://www.wikidata.org/entity/Q229364,नया रिवेरा
http://www.wikidata.org/entity/Q129591,ह्यू जैकमैन
http://www.wikidata.org/entity/Q129817,रसल क्रो
http://www.wikidata.org/entity/Q306665,मिवा
http://www.wikidata.org/entity/Q130311,जॉर्ज माइकल
http://www.wikidata.org/entity/Q230060,लीटा
http://www.wikidata.org/entity/Q130799,जेम्स ब्लंट
http://www.wikidata.org/entity/Q230451,शेर लॉयड
http://www.wikidata.org/entity/Q131433,शानिया ट्वाइन
http://www.wikidata.org/entity/Q131332,अमाण्डा पीट
http://www.wikidata.org/entity/Q131725,जोन बायज़
http://www.wikidata.org/entity/Q310539,डॉन ओमर
http://www.wikidata.org/entity/Q310580,डेविड कुक
http://www.wikidata.org/entity/Q310763,शैग्गी (संगीतकार)
http://www.wikidata.org/entity/Q310867,संजय दत्त
http://www.wikidata.org/entity/Q132952,एडम सैंडलर
http://www.wikidata.org/entity/Q311103,जेफ बेनेट
http://www.wikidata.org/entity/Q76478,किर्स्टन डंस्ट
http://www.wikidata.org/entity/Q311467,रोनेन कीटिंग
http://www.wikidata.org/entity/Q134575,चोई मिन-हो
http://www.wikidata.org/entity/Q139638,ज़ैकरी लीवाई
http://www.wikidata.org/entity/Q312003,हरिणी रवि
http://www.wikidata.org/entity/Q144622,फिल कॉलिन्स
http://www.wikidata.org/entity/Q270935,क्रिस कॉर्नेल
http://www.wikidata.org/entity/Q232120,एंजेला बैसेट
http://www.wikidata.org/entity/Q312610,सल्वाटोर एडमो
http://www.wikidata.org/entity/Q312705,जॉन चो
http://www.wikidata.org/entity/Q271500,टेस्सा थॉम्पसन
http://www.wikidata.org/entity/Q312783,विवेक
http://www.wikidata.org/entity/Q80424,नेली फ़र्टाडो
http://www.wikidata.org/entity/Q80758,ली मिन-हो
http://www.wikidata.org/entity/Q82110,स्टीवन सीगल
